Gene Symbol,organ
bA506K6.1,Brain
DKFZp566F223,Brain
MGC8685,Brain
CLPS,Pancreas
FHDC1,Female tissue
KIAA1727,Female tissue
TTC29,Male tissue
NYD-SP14,Male tissue
TTPA,Liver
AVED,Liver
BTG4,Male tissue
APRO3,Male tissue
PC3B,Male tissue
CYP19A1,Female tissue
ARO,Female tissue
ARO1,Female tissue
aromatase,Female tissue
CPV1,Female tissue
CYAR,Female tissue
CYP19,Female tissue
P-450AROM,Female tissue
BRDT,Male tissue
BRD6,Male tissue
CT9,Male tissue
DNASE2B,
DLAD,
TRIM54,Heart and skeletal muscle
MURF,Heart and skeletal muscle
MURF-3,Heart and skeletal muscle
RNF30,Heart and skeletal muscle
CYP2C9,Liver
CYP2C10,Liver
P450IIC9,Liver
CYP2C8,Liver
CPC8,Liver
KIF11,Blood and immune system
Eg5,Blood and immune system
HKSP,Blood and immune system
KNSL1,Blood and immune system
TRIP5,Blood and immune system
CUZD1,Pancreas
ERG-1,Pancreas
UO-44,Pancreas
RBP4,Liver
OIT3,Liver
FLJ39116,Liver
LZP,Liver
DNA2,Blood and immune system
DNA2L,Blood and immune system
KIAA0083,Blood and immune system
AOX1,Liver
AO,Liver
AOH1,Liver
CHRNA1,Heart and skeletal muscle
CHRNA,Heart and skeletal muscle
CCDC54,Male tissue
FLJ25362,Male tissue
NYD-SP17,Male tissue
SP17,Male tissue
SHF,Brain
NDST4,Brain
FGF5,Brain
IL21,Blood and immune system
IL-21,Blood and immune system
Za11,Blood and immune system
LEF1,Blood and immune system
TCF10,Blood and immune system
TCF1ALPHA,Blood and immune system
TCF7L3,Blood and immune system
C4orf17,Male tissue
DKFZP434G072,Male tissue
FBN2,Female tissue
CCA,Female tissue
DA9,Female tissue
TTLL8,Male tissue
PDE6H,Eye
ERP27,Pancreas
C12orf46,Pancreas
FLJ32115,Pancreas
PDIA8,Pancreas
PLCZ1,Male tissue
NYD-SP27,Male tissue
PLCzeta,Male tissue
KLRG1,Blood and immune system
2F1,Blood and immune system
CLEC15A,Blood and immune system
MAFA,Blood and immune system
MAFA-L,Blood and immune system
PIANP,Brain
C12orf53,Brain
DKFZp547D2210,Brain
PANP,Brain
SLC38A4,Liver
ATA3,Liver
NAT3,Liver
PAAT,Liver
PPFIA2,Brain
INHBE,Liver
activin,Liver
MGC4638,Liver
TPH2,Brain
FLJ37295,Brain
NTPH,Brain
PHLDA1,
DT1P1B11,
PHRIP,
TDAG51,
LUM,Female tissue
LDC,Female tissue
SLRR2D,Female tissue
AMDHD1,Liver
MGC35366,Liver
SYCP3,Male tissue
TMEM132B,Brain
KIAA1786,Brain
KIAA1906,Brain
FOXN4,Male tissue
RDH16,Liver
RODH-4,Liver
SDR9C8,Liver
DHH,Male tissue
HHG-3,Male tissue
MGC35145,Male tissue
NPFF,Male tissue
FMRFAL,Male tissue
SMIM2,Male tissue
C13orf44,Male tissue
MGC5590,Male tissue
SLAIN1,Brain
C13orf32,Brain
FLJ30046,Brain
SRRM4,Brain
KIAA1853,Brain
nSR100,Brain
RNF113B,Male tissue
RNF161,Male tissue
ZNF183L1,Male tissue
ZIC5,Brain
CBLN3,Brain
TSSK4,Male tissue
C14orf20,Male tissue
STK22E,Male tissue
RTN1,Brain
NSP,Brain
ADAM21,Male tissue
ADAM31,Male tissue
SERPINA10,Liver
PZI,Liver
ZPI,Liver
SLC25A47,Liver
C14orf68,Liver
SLC27A2,Liver
ACSVL1,Liver
FACVL1,Liver
FATP2,Liver
hFACVL1,Liver
HsT17226,Liver
VLACS,Liver
VLCS,Liver
DISP2,Brain
C15orf36,Brain
DISPB,Brain
HsT16908,Brain
KIAA1742,Brain
LINC00594,Brain
GOLGA6D,Male tissue
CYP1A2,Liver
CP12,Liver
P3-450,Liver
RLBP1,Eye
CRALBP,Eye
ZNF710,Pancreas
DKFZp547K1113,Pancreas
FLJ00306,Pancreas
FLJ37393,Pancreas
44816,Male tissue
FLJ25410,Male tissue
SLC5A2,Kidney
SGLT2,Kidney
CHST4,Liver
HEC-GLCNAC-6-ST,Liver
LSST,Liver
CLEC18B,Kidney
MRCL2,Kidney
CMTM2,Male tissue
CKLFSF2,Male tissue
FLJ25732,Male tissue
MGC39436,Male tissue
ADAD2,Male tissue
FLJ00337,Male tissue
TENRL,Male tissue
CTRL,Pancreas
DPEP3,Male tissue
KIF2B,Male tissue
SPATA22,Male tissue
NYD-SP20,Male tissue
C17orf64,Male tissue
MEP1B,GI-tract
SLC25A52,Male tissue
MCART2,Male tissue
ASGR1,Liver
CLEC4H1,Liver
TTYH2,Brain
C17orf29,Brain
ZCCHC2,
C18orf49,
FLJ20222,
FLJ20281,
KIAA1744,
CBLN2,Brain
ARL5C,Blood and immune system
ARL12,Blood and immune system
CACNA1A,Brain
APCA,Brain
CACNL1A4,Brain
Cav2.1,Brain
EA2,Brain
FHM,Brain
MHP,Brain
MHP1,Brain
SCA6,Brain
FEM1A,Heart and skeletal muscle
DMRTC2,Male tissue
PGGHG,Pancreas
ATHL1,Pancreas
FLJ22635,Pancreas
LMTK3,Brain
KIAA1883,Brain
LMR3,Brain
PPP1R101,Brain
TYKLM3,Brain
SLC6A3,Brain
DAT,Brain
DAT1,Brain
GPR32,Endocrine tissue
RVDR1,Endocrine tissue
KLK3,Male tissue
APS,Male tissue
PSA,Male tissue
CELA2A,Pancreas
ELA2A,Pancreas
IL22RA1,Pancreas
CRF2-9,Pancreas
IL22R,Pancreas
C1orf94,Male tissue
MGC15882,Male tissue
CELA3A,Pancreas
ELA3,Pancreas
ELA3A,Pancreas
BEST4,GI-tract
VMD2L2,GI-tract
DMRTB1,Male tissue
BARHL2,Brain
GPA33,GI-tract
A33,GI-tract
TBX19,Endocrine tissue
dj747L4.1,Endocrine tissue
TPIT,Endocrine tissue
MAEL,Male tissue
CT128,Male tissue
FLJ14904,Male tissue
SPATA35,Male tissue
NR1I3,Liver
CAR,Liver
CAR1,Liver
MB67,Liver
F13B,Liver
FXIIIB,Liver
ISG20L2,Male tissue
FLJ12671,Male tissue
ADAMTSL4,Female tissue
DKFZP434K1772,Female tissue
TSRC1,Female tissue
OAZ3,Male tissue
HORMAD1,Male tissue
CT46,Male tissue
DKFZP434A1315,Male tissue
KCNH1,Brain
eag,Brain
eag1,Brain
h-eag,Brain
Kv10.1,Brain
FLG2,Skin
IFPS,Skin
NUP210L,Male tissue
AQP10,GI-tract
REN,Kidney
SYT2,Brain
REG3G,Pancreas
LPPM429,Pancreas
PAP1B,Pancreas
UNQ429,Pancreas
ABHD1,Male tissue
FLJ36128,Male tissue
LABH1,Male tissue
NAT8,Kidney
ATase2,Kidney
GLA,Kidney
Hcml1,Kidney
TSC501,Kidney
DQX1,GI-tract
FLJ23757,GI-tract
C1QL2,Brain
C1QTNF10,Brain
CTRP10,Brain
CNGA3,Endocrine tissue
ACHM2,Endocrine tissue
CCNC1,Endocrine tissue
CCNCa,Endocrine tissue
CNCG3,Endocrine tissue
CNG3,Endocrine tissue
LYG1,Kidney
SALW1939,Kidney
AMMECR1L,Eye
MGC4268,Eye
SCN1A,Brain
3-Feb,Brain
GEFSP2,Brain
NAC1,Brain
Nav1.1,Brain
SCN1,Brain
SMEI,Brain
CDCA7,Blood and immune system
FLJ14736,Blood and immune system
JPO1,Blood and immune system
CPO,GI-tract
KANSL1L,Endocrine tissue
C2orf67,Endocrine tissue
FLJ23861,Endocrine tissue
FLJ32349,Endocrine tissue
KIAA1267L,Endocrine tissue
MSL1v2,Endocrine tissue
CPNE9,Brain
KIAA4217,Brain
GADL1,Heart and skeletal muscle
SLC22A14,Male tissue
OCTL2,Male tissue
ORCTL4,Male tissue
CAND2,Heart and skeletal muscle
KIAA0667,Heart and skeletal muscle
TIP120B,Heart and skeletal muscle
Tp120b,Heart and skeletal muscle
TAGLN3,Brain
NP22,Brain
NP25,Brain
SPATA16,Male tissue
NYD-SP12,Male tissue
TM4SF19,Adipose tissue
AHSG,Liver
A2HS,Liver
FETUA,Liver
HSGA,Liver
CABS1,Male tissue
C4orf35,Male tissue
CLPH,Male tissue
FLJ32897,Male tissue
NYD-SP26,Male tissue
GC,Liver
DBP,Liver
hDBP,Liver
VDBP,Liver
DDIT4L,Heart and skeletal muscle
REDD2,Heart and skeletal muscle
Rtp801L,Heart and skeletal muscle
FABP2,GI-tract
I-FABP,GI-tract
CCNA2,Blood and immune system
CCN1,Blood and immune system
CCNA,Blood and immune system
CDH18,Brain
CDH14,Brain
EY-CADHERIN,Brain
HAPLN1,Female tissue
CRTL1,Female tissue
RASA1,Female tissue
CM-AVM,Female tissue
GAP,Female tissue
p120,Female tissue
p120GAP,Female tissue
p120RASGAP,Female tissue
RASA,Female tissue
LIX1,Brain
C5orf11,Brain
Lft,Brain
SPATA9,Male tissue
FLJ35906,Male tissue
NYD-SP16,Male tissue
LECT2,Liver
chm-II,Liver
chm2,Liver
GABRA6,Brain
GABRB2,Brain
GLRA1,Brain
STHE,Brain
FAM217A,Male tissue
C6orf146,Male tissue
MGC43581,Male tissue
PSD2,Brain
DKFZp761B0514,Brain
EFA6C,Brain
LRRTM2,Brain
KIAA0416,Brain
KLHL3,Brain
KIAA1129,Brain
HIST1H2BA,Male tissue
bA317E16.3,Male tissue
H2BFU,Male tissue
STBP,Male tissue
TSH2B,Male tissue
IRAK1BP1,Blood and immune system
AIP70,Blood and immune system
SIMPL,Blood and immune system
CLVS2,Brain
bA160A10.4,Brain
C6orf212,Brain
C6orf213,Brain
RLBP1L2,Brain
GPR6,Brain
RNF217,Endocrine tissue
C6orf172,Endocrine tissue
dJ84N20.1,Endocrine tissue
IBRDC1,Endocrine tissue
MGC26996,Endocrine tissue
TAAR2,Male tissue
GPR58,Male tissue
TAAR1,GI-tract
TA1,GI-tract
TAR1,GI-tract
TRAR1,GI-tract
PNLDC1,Male tissue
dJ195P10.2,Male tissue
FLJ40240,Male tissue
VWDE,Endocrine tissue
FLJ14712,Endocrine tissue
ZAN,Male tissue
CLTRN,Kidney
NX17,Kidney
TMEM27,Kidney
AKAP4,Male tissue
AKAP82,Male tissue
CT99,Male tissue
Fsc1,Male tissue
hAKAP82,Male tissue
HI,Male tissue
p82,Male tissue
GPR174,Blood and immune system
FKSG79,Blood and immune system
GCNA,Male tissue
ACRC,Male tissue
NAAR1,Male tissue
CPXCR1,Male tissue
CT77,Male tissue
HTR2C,Brain
5-HT2C,Brain
5HTR2C,Brain
HTR1C,Brain
IGSF1,Endocrine tissue
IGCD1,Endocrine tissue
IGDC1,Endocrine tissue
INHBP,Endocrine tissue
KIAA0364,Endocrine tissue
MGC75490,Endocrine tissue
PGSF2,Endocrine tissue
GPC3,Female tissue
DGSX,Female tissue
OCI-5,Female tissue
SDYS,Female tissue
SGB,Female tissue
SGBS,Female tissue
SGBS1,Female tissue
FATE1,Male tissue
CT43,Male tissue
FATE,Male tissue
DOK2,Blood and immune system
Dok-2,Blood and immune system
p56dok-2,Blood and immune system
PXDNL,Heart and skeletal muscle
FLJ25471,Heart and skeletal muscle
PMR1,Heart and skeletal muscle
ST18,Brain
KIAA0535,Brain
NZF3,Brain
ZC2H2C3,Brain
ZC2HC10,Brain
ZNF387,Brain
RGS20,Brain
RGSZ1,Brain
ZGAP1,Brain
DNAJC5B,Male tissue
CSP-beta,Male tissue
MGC26226,Male tissue
CRH,Female tissue
CRF,Female tissue
CRH1,Female tissue
PMP2,Brain
FABP8,Brain
M-FABP,Brain
MP2,Brain
SLC26A7,Endocrine tissue
SUT2,Endocrine tissue
ATP6V0D2,Kidney
ATP6D2,Kidney
FLJ38708,Kidney
VMA6,Kidney
SLC39A4,GI-tract
AEZ,GI-tract
AWMS2,GI-tract
ZIP4,GI-tract
ACTL7B,Male tissue
Tact1,Male tissue
IDI2,Heart and skeletal muscle
IPPI2,Heart and skeletal muscle
TMEM236,GI-tract
bA162I21.2,GI-tract
bA16O1.2,GI-tract
FAM23A,GI-tract
FAM23B,GI-tract
RGR,Eye
RP44,Eye
HABP2,Liver
FSAP,Liver
HABP,Liver
HGFAL,Liver
PHBP,Liver
VAX1,Brain
NPFFR1,Brain
GPR147,Brain
NPFF1R1,Brain
OT7T022,Brain
CYP17A1,Endocrine tissue
CPT7,Endocrine tissue
CYP17,Endocrine tissue
P450C17,Endocrine tissue
S17AH,Endocrine tissue
INA,Brain
NEF5,Brain
NF-66,Brain
LRRC27,Male tissue
KIAA1674,Male tissue
ADAM12,Female tissue
MCMPMltna,Female tissue
MLTN,Female tissue
LRRC4C,Brain
KIAA1580,Brain
NGL-1,Brain
SAA4,Liver
C-SAA,Liver
CSAA,Liver
SCGB1A1,Lung
CC10,Lung
CC16,Lung
CCSP,Lung
UGB,Lung
SERPING1,Liver
C1-INH,Liver
C1IN,Liver
C1NH,Liver
HAE1,Liver
HAE2,Liver
ROM1,Eye
ROM,Eye
TSPAN23,Eye
OOSP2,Male tissue
FLJ36198,Male tissue
PLAC1L,Male tissue
TMEM122,Male tissue
MS4A2,Blood and immune system
APY,Blood and immune system
FCER1B,Blood and immune system
IGER,Blood and immune system
MS4A1,Blood and immune system
FEZ1,Brain
UNC-76,Brain
DUSP15,Male tissue
bA243J16.5,Male tissue
bA243J16.6,Male tissue
C20orf57,Male tissue
FLJ20645,Male tissue
VHY,Male tissue
C20orf144,Male tissue
bclt,Male tissue
dJ63M2.6,Male tissue
SPINT4,Male tissue
C20orf137,Male tissue
dJ601O1.1,Male tissue
CDH22,Brain
C20orf25,Brain
dJ998H6.1,Brain
GPHA2,Pancreas
A2,Pancreas
GPA2,Pancreas
MGC126572,Pancreas
ZSIG51,Pancreas
SLC22A9,Liver
FLJ23666,Liver
OAT4,Liver
OAT7,Liver
UST3,Liver
PLCB3,GI-tract
ALDOA,Heart and skeletal muscle
CNKSR2,Brain
CNK2,Brain
KIAA0902,Brain
KSR2,Brain
FXYD4,Kidney
CHIF,Kidney
KLHL1,Brain
FLJ30047,Brain
KIAA1490,Brain
MRP2,Brain
GPM6A,Brain
GPM6,Brain
SPATA4,Male tissue
SPEF1B,Male tissue
TSARG2,Male tissue
CCDC83,Male tissue
CT148,Male tissue
FLJ42119,Male tissue
MGC34732,Male tissue
TEX12,Male tissue
TKTL2,Male tissue
DKFZP434L1717,Male tissue
FLJ32975,Male tissue
LYZL2,Male tissue
CACNA2D4,Eye
RAD9B,Male tissue
FLJ40346,Male tissue
MAT1A,Liver
MAT,Liver
MATA1,Liver
SAMS,Liver
SAMS1,Liver
ALLC,Male tissue
ALC,Male tissue
SLC25A31,Male tissue
ANT4,Male tissue
DKFZP434N1235,Male tissue
ITIH2,Liver
H2P,Liver
KCNJ1,Kidney
Kir1.1,Kidney
ROMK1,Kidney
TDO2,Liver
TDO,Liver
TPH2,Liver
GABRA2,Brain
PABPC3,Male tissue
PABP3,Male tissue
PABPL3,Male tissue
tPABP,Male tissue
CCL28,
CCK1,
MEC,
SCYA28,
TMEM132D,Brain
KIAA1944,Brain
MOLT,Brain
PPP1R153,Brain
RBM46,Male tissue
CT68,Male tissue
MGC27016,Male tissue
TMEM178A,Brain
MGC33926,Brain
TMEM178,Brain
POU4F1,Brain
BRN3A,Brain
RDC-1,Brain
RIT2,Brain
RIBA,Brain
RIN,Brain
SPC25,Blood and immune system
AD024,Blood and immune system
MGC22228,Blood and immune system
SPBC25,Blood and immune system
PTH,Endocrine tissue
PTH1,Endocrine tissue
BOLL,Male tissue
BOULE,Male tissue
TRIM36,Male tissue
HAPRIN,Male tissue
RBCC728,Male tissue
RNF98,Male tissue
PFKM,Heart and skeletal muscle
PFK-1,Heart and skeletal muscle
PFKX,Heart and skeletal muscle
PPP1R122,Heart and skeletal muscle
GRIA4,Brain
GluA4,Brain
GLUR4,Brain
GLURD,Brain
MEPE,Brain
NADK2,Liver
C5orf33,Liver
FLJ30596,Liver
MNADK,Liver
NADKD1,Liver
DDX4,Male tissue
VASA,Male tissue
CATSPER3,Male tissue
CACRC,Male tissue
GRM1,Brain
GPRC1A,Brain
mGlu1,Brain
MGLUR1,Brain
PPP1R85,Brain
CNTNAP4,Brain
CASPR4,Brain
KIAA1763,Brain
NRSN1,Brain
p24,Brain
VMP,Brain
ZIC1,Brain
ZIC,Brain
ZNF201,Brain
CPB1,Pancreas
LGI2,Endocrine tissue
FLJ10675,Endocrine tissue
KIAA1916,Endocrine tissue
TEKT5,Male tissue
CT149,Male tissue
FLJ32871,Male tissue
SYCP2L,Endocrine tissue
C6orf177,Endocrine tissue
dJ62D2.1,Endocrine tissue
NO145,Endocrine tissue
RGPD3,Male tissue
RGP3,Male tissue
PTPRR,Brain
EC-PTP,Brain
PCPTP1,Brain
PTP-SL,Brain
PTPBR7,Brain
PTPRQ,Brain
FEZF2,Brain
FEZL,Brain
FKSG36,Brain
FLJ10142,Brain
TOF,Brain
Zfp312,Brain
ZNF312,Brain
TEX29,Male tissue
bA474D23.1,Male tissue
C13orf16,Male tissue
MGC35169,Male tissue
SPACA7,Male tissue
C13orf28,Male tissue
GOLGA8F,Male tissue
DKFZp434P162,Male tissue
TGIF2LX,Male tissue
C7orf31,Male tissue
ASB17,Male tissue
SLC5A10,Kidney
SGLT5,Kidney
AK5,Brain
CABYR,Male tissue
CBP86,Male tissue
CT88,Male tissue
FSP-2,Male tissue
JPH3,Brain
CAGL237,Brain
HDL2,Brain
JP-3,Brain
JP3,Brain
TNRC22,Brain
NRGN,Brain
RC3,Brain
UCHL1,Brain
PARK5,Brain
PGP9.5,Brain
Uch-L1,Brain
ASZ1,Male tissue
ALP1,Male tissue
ANKL1,Male tissue
C7orf7,Male tissue
CT1.19,Male tissue
GASZ,Male tissue
Orf3,Male tissue
GPR26,Brain
MMP21,Male tissue
PDLIM3,Heart and skeletal muscle
ALP,Heart and skeletal muscle
PSMA8,Male tissue
MGC26605,Male tissue
PSMA7L,Male tissue
CHODL,Male tissue
C21orf68,Male tissue
FLJ12627,Male tissue
MT75,Male tissue
PRED12,Male tissue
TMPRSS15,GI-tract
ENTK,GI-tract
MGC133046,GI-tract
PRSS7,GI-tract
EPHB1,Brain
EPHT2,Brain
Hek6,Brain
CYP2U1,Blood and immune system
SPG49,Blood and immune system
CNTNAP5,Brain
caspr5,Brain
FLJ31966,Brain
ODF1,Male tissue
CT133,Male tissue
HSPB10,Male tissue
ODF27,Male tissue
ODFPG,Male tissue
RT7,Male tissue
OR4K1,Male tissue
GPR78,Female tissue
MAGEC1,Male tissue
CT7,Male tissue
CT7.1,Male tissue
MAGE-C1,Male tissue
MGC39366,Male tissue
GRIA1,Brain
GluA1,Brain
GLUR1,Brain
GLURA,Brain
XAGE2,Female tissue
CT12.2,Female tissue
GAGED3,Female tissue
XAGE-2,Female tissue
XAGE2B,Female tissue
PDZD9,Male tissue
C16orf65,Male tissue
MGC50721,Male tissue
C2CD6,Male tissue
ALS2CR11,Male tissue
FLJ25351,Male tissue
CYLC2,Male tissue
SAXO1,Male tissue
C9orf138,Male tissue
FAM154A,Male tissue
MGC35182,Male tissue
SLC24A2,Brain
NCKX2,Brain
TRIM42,Male tissue
FLJ40097,Male tissue
PPP1R40,Male tissue
T4A1,Male tissue
KIF5A,Brain
D12S1889,Brain
MY050,Brain
NKHC,Brain
SPG10,Brain
MAGEA8,Female tissue
CT1.8,Female tissue
MAGE8,Female tissue
MGC2182,Female tissue
UGT2B4,Liver
UGT2B11,Liver
PPEF2,Eye
PPP7CB,Eye
CXCL13,Blood and immune system
ANGIE,Blood and immune system
ANGIE2,Blood and immune system
BCA-1,Blood and immune system
BLC,Blood and immune system
BLR1L,Blood and immune system
SCYB13,Blood and immune system
TSPAN7,Brain
A15,Brain
CD231,Brain
DXS1692E,Brain
MRX58,Brain
MXS1,Brain
TALLA-1,Brain
TM4SF2,Brain
TIAM1,Brain
FGF18,Heart and skeletal muscle
FGF-18,Heart and skeletal muscle
ZFGF5,Heart and skeletal muscle
PPP2R2B,Brain
B55beta,Brain
PR52B,Brain
PR55-BETA,Brain
SCA12,Brain
KCNS2,Brain
Kv9.2,Brain
HKDC1,GI-tract
FLJ22761,GI-tract
FLJ37767,GI-tract
CD109,Endocrine tissue
CPAMD7,Endocrine tissue
DKFZp762L1111,Endocrine tissue
FLJ38569,Endocrine tissue
LRFN2,Brain
FIGLER2,Brain
KIAA1246,Brain
SALM1,Brain
FBXO32,Heart and skeletal muscle
ATROGIN1,Heart and skeletal muscle
Fbx32,Heart and skeletal muscle
MAFbx,Heart and skeletal muscle
ITGAD,Blood and immune system
ADB2,Blood and immune system
CD11d,Blood and immune system
ADGRG4,GI-tract
GPR112,GI-tract
PGR17,GI-tract
RP1-299I16,GI-tract
ZIC3,Brain
HTX,Brain
HTX1,Brain
ZNF203,Brain
SHCBP1L,Male tissue
C1orf14,Male tissue
LYZL4,Male tissue
LYC4,Male tissue
MGC26768,Male tissue
KLHL40,Heart and skeletal muscle
KBTBD5,Heart and skeletal muscle
NEM8,Heart and skeletal muscle
SRYP,Heart and skeletal muscle
C8A,Liver
SYN2,Brain
SYNII,Brain
SYNIIa,Brain
SYNIIb,Brain
STEAP2,Male tissue
IPCA-1,Male tissue
PCANAP1,Male tissue
STAMP1,Male tissue
STMP,Male tissue
HTR5A,Brain
5-HT5A,Brain
TMED6,Pancreas
MGC23911,Pancreas
p24g5,Pancreas
p24gamma5,Pancreas
CLEC18A,Kidney
MRCL,Kidney
ARMC12,Male tissue
C6orf81,Male tissue
FLJ25390,Male tissue
LCA5L,Male tissue
C21orf13,Male tissue
MGC33295,Male tissue
C9orf43,Male tissue
MGC17358,Male tissue
CABP1,Brain
DPYSL5,Brain
CRAM,Brain
CRMP-5,Brain
CRMP5,Brain
Ulip6,Brain
CIB4,Male tissue
BABAM2,Endocrine tissue
BRCC4,Endocrine tissue
BRCC45,Endocrine tissue
BRE,Endocrine tissue
TRIM63,Heart and skeletal muscle
IRF,Heart and skeletal muscle
MURF-1,Heart and skeletal muscle
RNF28,Heart and skeletal muscle
SMRZ,Heart and skeletal muscle
GALNT14,Kidney
FLJ12691,Kidney
GalNac-T10,Kidney
GalNac-T14,Kidney
HPD,Liver
4-HPPD,Liver
4HPPD,Liver
GLOD3,Liver
PPD,Liver
XKR8,Blood and immune system
FLJ10307,Blood and immune system
SLC13A3,Kidney
NADC3,Kidney
SDCT2,Kidney
HIST1H2BD,Blood and immune system
H2B/b,Blood and immune system
H2BFB,Blood and immune system
CD1A,Blood and immune system
CD1,Blood and immune system
CD1B,Blood and immune system
CD1E,Blood and immune system
CPA2,Pancreas
POM121L2,Male tissue
POM121-L,Male tissue
PAGE5,Male tissue
CT16.1,Male tissue
CT16.2,Male tissue
PAGE-5,Male tissue
SLC45A3,Male tissue
IPCA-2,Male tissue
IPCA-6,Male tissue
IPCA-8,Male tissue
PCANAP2,Male tissue
PCANAP6,Male tissue
PCANAP8,Male tissue
prostein,Male tissue
HTR6,Brain
5-HT6,Brain
5-HT6R,Brain
ITLN2,GI-tract
HL-2,GI-tract
FGF17,Brain
FGF-13,Brain
APOA2,Liver
WFDC8,Male tissue
C20orf170,Male tissue
dJ461P17.1,Male tissue
WAP8,Male tissue
TNNI1,Heart and skeletal muscle
KCNE2,GI-tract
LQT6,GI-tract
MiRP1,GI-tract
GIP,GI-tract
ACTC1,Heart and skeletal muscle
ACTC,Heart and skeletal muscle
CMD1R,Heart and skeletal muscle
CES5A,Male tissue
CAUXIN,Male tissue
CES4C1,Male tissue
CES5,Male tissue
CES7,Male tissue
FLJ31547,Male tissue
LCE2B,Skin
LEP10,Skin
SPRL1B,Skin
XP5,Skin
ACE,GI-tract
ACE1,GI-tract
CD143,GI-tract
DCP1,GI-tract
TEPP,Male tissue
UROC1,Liver
FLJ31300,Liver
HMFN0320,Liver
ZFYVE28,Brain
KIAA1643,Brain
CARMIL2,Blood and immune system
LRRC16C,Blood and immune system
RLTPR,Blood and immune system
FAM131B,Brain
KIAA0773,Brain
CCDC28B,Heart and skeletal muscle
MGC1203,Heart and skeletal muscle
RP4-622L5.5,Heart and skeletal muscle
CRYAA,Kidney
CRYA1,Kidney
HSPB4,Kidney
HSF2BP,Male tissue
FTCD,Liver
PCNT,Heart and skeletal muscle
KEN,Heart and skeletal muscle
KIAA0402,Heart and skeletal muscle
PCN,Heart and skeletal muscle
PCNT2,Heart and skeletal muscle
PCNTB,Heart and skeletal muscle
SCKL4,Heart and skeletal muscle
S100B,Brain
S100beta,Brain
ADAMTS13,Liver
C9orf8,Liver
DKFZp434C2322,Liver
FLJ42993,Liver
MGC118899,Liver
MGC118900,Liver
TTP,Liver
vWF-CP,Liver
VWFCP,Liver
FCN2,Liver
EBP-37,Liver
FCNL,Liver
ficolin-2,Liver
P35,Liver
LCN1,
MGC71975,
PMFA,
TLC,
TP,
VEGP,
HIPK4,Male tissue
FLJ32818,Male tissue
SPTBN4,Brain
KIAA1642,Brain
SPTBN3,Brain
BRSK1,Brain
KIAA1811,Brain
COX6B2,Male tissue
COXVIB2,Male tissue
CT59,Male tissue
FLJ32865,Male tissue
JAML,Blood and immune system
AMICA,Blood and immune system
AMICA1,Blood and immune system
Gm638,Blood and immune system
CD3G,Blood and immune system
CHRNB2,Brain
PAQR6,Brain
FLJ22672,Brain
PRdelta,Brain
PTH1R,Kidney
PTHR,Kidney
PTHR1,Kidney
CYP3A7,Liver
CP37,Liver
P450-HFLA,Liver
CYP11B1,Endocrine tissue
CPN1,Endocrine tissue
CYP11B,Endocrine tissue
FHI,Endocrine tissue
P450C11,Endocrine tissue
CCDC105,Male tissue
FLJ40365,Male tissue
PGLYRP2,Liver
PGLYRPL,Liver
PGRP-L,Liver
PGRPL,Liver
tagL,Liver
tagL-alpha,Liver
tagl-beta,Liver
TAGL-like,Liver
LRWD1,Male tissue
CENP-33,Male tissue
DKFZp434K1815,Male tissue
ORCA,Male tissue
CELF5,Brain
BRUNOL5,Brain
CCDC116,Male tissue
FLJ36046,Male tissue
DMKN,Skin
ZD52F10,Skin
BDH1,Liver
BDH,Liver
SDR9C1,Liver
KLHL10,Male tissue
FLJ32662,Male tissue
CCDC155,Male tissue
FLJ32658,Male tissue
KASH5,Male tissue
HCRT,Brain
OX,Brain
PPOX,Brain
IZUMO2,Male tissue
C19orf41,Male tissue
MGC33947,Male tissue
SCRL,Male tissue
SHANK1,Brain
SPANK-1,Brain
SSTRIP,Brain
synamon,Brain
KRT84,
Hb-4,
KRTHB4,
KRT82,Skin
Hb-2,Skin
KRTHB2,Skin
SYCE2,Male tissue
CESC1,Male tissue
ASGR2,Liver
CLEC4H2,Liver
CCDC42,Male tissue
CCDC42A,Male tissue
FLJ32734,Male tissue
PRR35,Brain
C16orf11,Brain
SPSB3,Liver
C16orf31,Liver
SSB-3,Liver
MEIOB,Male tissue
C16orf73,Male tissue
MGC35212,Male tissue
ZG16B,
HRPE773,
JCLN2,
PRO1567,
CLPB,Male tissue
ANKCLB,Male tissue
FLJ13152,Male tissue
HSP78,Male tissue
SKD3,Male tissue
PPP1R32,Male tissue
C11orf66,Male tissue
FLJ32771,Male tissue
IIIG9,Male tissue
GNG3,Brain
LBHD1,Heart and skeletal muscle
C11orf48,Heart and skeletal muscle
MGC2477,Heart and skeletal muscle
ITIH3,Liver
H3P,Liver
FGF19,Liver
CYP4A22,Liver
PDZK1IP1,Kidney
DD96,Kidney
MAP17,Kidney
SPAP,Kidney
SLC1A7,Eye
EAAT5,Eye
CTRC,Pancreas
CLCR,Pancreas
ELA4,Pancreas
TSSK3,Male tissue
SPOGA3,Male tissue
STK22C,Male tissue
TTLL10,Male tissue
FLJ36119,Male tissue
TTLL5,Male tissue
CCDC27,Male tissue
FLJ32825,Male tissue
LRRIQ3,Male tissue
LRRC44,Male tissue
MGC22773,Male tissue
AKNAD1,Male tissue
C1orf62,Male tissue
MGC26989,Male tissue
KCNJ9,Brain
GIRK3,Brain
